"x","y"
338.73,4679.73
339.23,4683.33
340.37,4682.8
341.05,4683.89
341.56,4684.44
342.03,4685.09
340.41,4684.35
340.31,4685.8
340.69,4686.01
341.03,4686.45
340.54,4686.46
339.8,4686.59
339.19,4685.38
338.04,4683.85
337.41,4683.31
337.06,4684.1
336.21,4684.62
336.91,4683.1
335.71,4682.85
336.07,4682.3
336.44,4682.22
336.57,4682.66
336.94,4682.43
337.31,4682.42
337.62,4682.71
338.06,4682.96
338.43,4683.29
338.41,4682.79
338.63,4682.51
339.12,4682.27
337.8,4682.41
338.04,4682.13
337.38,4682.15
336.77,4682.1
336.92,4681.66
335.06,4681.48
334.41,4681.99
334.77,4683.32
333.46,4683.46
334.1,4686.28
332.73,4687.53
334.9,4688.7
334.95,4687.42
337.05,4687.4
337.86,4686.63
337.42,4685.59
338.04,4685.57
338.8,4686.11
338.89,4686.55
339.11,4687.03
339.26,4688.49
338.29,4688.98
338.72,4689.84
337.06,4689.49
333.88,4692.78
338.44,4693.73
341.09,4692.89
341.13,4692.61
340.32,4689.8
340.16,4688.25
341,4688.78
340.98,4687.73
341.69,4688.21
342.86,4688.96
346.79,4689.54
331.55,4689.89
329.59,4690.77
327.82,4689.01
326.34,4689.47
326.06,4688.03
325.21,4686.83
326.11,4685.12
324.43,4685.62
324.98,4684.17
326,4683.81
326.86,4683.62
327.67,4683.15
328.84,4683.79
327.66,4684.43
327.65,4685.54
329.51,4685.83
329.49,4686.61
329.64,4687.83
330.44,4686.81
331.61,4685.73
331.02,4684.91
332.43,4685.43
331.89,4683.61
331.62,4682.63
332.24,4682.49
332.59,4681.76
331.56,4681.73
330.72,4683.03
330.02,4684.49
330.02,4683.15
328.81,4682.46
328.07,4682.48
327.72,4681.82
326.96,4681.51
328.46,4681.41
329.51,4679.89
328.31,4678.86
328.31,4679.58
328.65,4679.3
329.31,4679.17
329.53,4678.55
329.86,4678.61
330.44,4678.98
330.47,4679.42
330.07,4679.82
330.41,4680.53
331.12,4680.57
330.97,4679.69
331.5,4680.23
331.74,4679.47
332.09,4679.83
332.07,4680.53
332.69,4680.64
332.68,4680.2
333.47,4680.46
333,4679.12
332.43,4679.37
331.89,4679
331.94,4678.61
332.45,4678.76
332.83,4678.54
332.23,4678.16
330.6,4677.75
330.18,4677.71
329.71,4677.92
329.27,4678.17
328.79,4678.29
328.83,4678.35
328.48,4678.86
328.71,4678.35
328.78,4677.87
329.38,4677.56
329.76,4677.44
329.83,4676.88
330.27,4677.15
330.68,4677.27
330.46,4676.75
330.97,4676.26
330.65,4676.36
330.72,4676.08
330.47,4675.92
330.06,4676.15
330.35,4676.28
330.26,4676.48
330.15,4676.37
329.82,4676.45
329.8,4676.1
330.05,4675.71
329.59,4675.5
329.45,4675.63
329.3,4675.5
329.42,4676.06
329.26,4677.01
329.41,4676.56
329.57,4676.31
329.15,4676.22
328.88,4676.98
328.59,4676.63
328.22,4676.64
327.37,4676.83
328.19,4677.14
328.6,4677.24
327.82,4677.71
328.86,4677.53
328.57,4677.76
328.29,4677.95
328.44,4678.19
327.81,4678.5
327.94,4678.87
328.13,4679.14
327.27,4680.28
325.74,4680.04
326.27,4679.6
327.04,4679.12
326.73,4678.43
326.76,4677.73
326.98,4677.03
326.66,4677.09
326.17,4677.25
325.71,4677.26
325.27,4677.83
325.79,4678.83
324.96,4680.22
323.4,4680.09
323.09,4681.22
325.03,4681.72
322.83,4682.5
324.03,4682.69
322.57,4685.12
321.68,4685.47
319.42,4679.92
316.92,4682.09
315.27,4682.25
316.8,4684.04
314.85,4678.93
313.23,4676.75
316.82,4673.65
317.26,4676.14
318.54,4677.66
318.46,4674.75
322.82,4678.94
322.58,4677.43
322.65,4676.98
322.53,4676.45
323.13,4676.4
323.08,4675.96
323.54,4676.38
323.92,4676.75
323.62,4677.92
324.49,4677.84
324.67,4677.03
325.31,4676.49
326.27,4676.52
327.23,4676.33
326.18,4675.97
325.83,4675.44
324.93,4675.79
324.59,4675.44
324.95,4675.98
325.81,4674.59
326.51,4673.63
324.85,4674.22
325.28,4673.35
325.75,4672.26
325,4671.8
324.11,4672.63
324.25,4673.18
323.3,4673.39
323.82,4674.42
324.02,4675.55
323.52,4675.55
322.65,4675.22
322.57,4674.34
317.87,4672.74
318.04,4672.68
318.54,4670.11
317.12,4670.2
316.65,4671.73
315.64,4671.13
314.66,4670.1
313.5,4669.99
313.15,4670.8
314.4,4670.91
313.75,4671.64
314.39,4672.27
315.2,4673.19
314.77,4674.01
312.69,4673.54
311.62,4671.26
310.85,4669.59
312.51,4668.51
316.31,4668.05
329.29,4674.65
328.89,4674.7
328.58,4674.69
328.28,4674.31
328.36,4674.08
327.98,4673.87
328.68,4673.63
329.02,4674.18
329.1,4673.84
328.88,4673.46
327.84,4673.04
327.26,4674.72
326.66,4668.79
327.53,4667.33
326.94,4666.73
326.62,4667.74
325.08,4668.5
324.01,4670.36
323.41,4671.02
323.17,4669.9
322.46,4671.01
323.31,4671.91
322.62,4672.67
321.13,4672.6
319.56,4672.39
320.15,4671.12
320.44,4668.22
319.76,4664.13
316.96,4663.04
318.4,4659.39
322.31,4660.4
323.64,4662.2
321.79,4662.69
323.23,4665.49
323.73,4667.4
325.85,4666.22
325.63,4663.93
324.92,4665.25
323.84,4664.71
324.06,4664.06
324.62,4663.12
324.62,4659.79
326.23,4658.25
325.98,4659.86
327.37,4662.22
329.45,4662.95
327.52,4664.99
330.89,4667.69
330.04,4668.54
331.05,4669.24
332.45,4668.93
333.62,4668.79
333.11,4669.3
333.49,4671.07
334.2,4671.28
333.55,4670.07
334.16,4669.42
334.75,4668.49
336.46,4669
335.73,4667.96
334.4,4667.33
333.92,4668.17
333.1,4668.3
333.99,4665.84
334.91,4666.37
335.54,4666.66
336.09,4666.73
335.55,4665.52
334.63,4663.33
334.7,4664.54
333.85,4665.01
332.38,4664.1
331.22,4664.35
332.54,4662.43
333.63,4661.12
334.92,4661.43
336.31,4662.51
337.51,4662.64
337.14,4664.21
336.67,4665.66
337.98,4665.52
337.75,4666.68
337.42,4667.42
337.64,4668.12
344.03,4667.55
341.79,4669.1
339.95,4667.76
340.26,4665.03
338.93,4659.45
338.7,4660.56
340.56,4660.19
341.24,4662.63
346.68,4665.66
348.46,4663.96
348.62,4659.79
350.23,4657.7
348.55,4656.57
346.66,4657
346.65,4654.55
328.07,4675.78
327.07,4675.23
326.59,4675.02
327.22,4674.67
327.41,4674.25
327.76,4674.99
328.21,4674.75
327.78,4675.54
330.03,4674.91
329.98,4674.65
330.43,4674.39
330.7,4674.58
330.94,4674.96
330.81,4675.19
331.43,4675.39
331.48,4675.56
331.65,4675.8
332.13,4676.07
332.07,4675.85
331.91,4676.44
332.14,4676.66
331.81,4676.72
331.64,4676.54
331.65,4676.84
331.16,4677.13
331.57,4677.01
333.05,4676.94
333.17,4676.74
332.92,4676.36
332.99,4676.12
333.05,4676.31
333.17,4676.5
333.33,4676.57
333.56,4676.86
334.06,4677.06
334.67,4677.38
333.28,4676.02
333.5,4673.85
333.22,4673.67
333.06,4673.7
332.73,4673.68
332.82,4674.02
333,4674.75
332.16,4674.12
332.19,4673.89
332.4,4673.93
332.4,4673.63
332.13,4673.55
332.03,4673.78
332.25,4674.4
331.71,4675.98
331.37,4674.79
331.28,4674.35
331.14,4674.46
331.08,4674.63
330.87,4674.33
331,4674.13
331.16,4673.96
331.4,4673.62
331.11,4673.27
330.93,4673.41
330.77,4673.88
330.54,4673.69
330.04,4673.81
329.77,4673.72
329.51,4674.03
329.38,4673.5
329.75,4673.25
329.98,4672.93
330.1,4673.45
330.25,4673.11
330.39,4673.38
330.56,4673.14
330.85,4672.91
330.33,4672.59
330.67,4672.47
330.54,4672.19
330.74,4671.75
330.91,4672.04
331.04,4672.32
331.09,4672.61
331.18,4672.87
331.19,4673.1
331.81,4673.11
332.21,4672.93
331.99,4672.11
332.04,4672.55
331.73,4672.58
331.51,4672.9
331.34,4672.57
331.62,4672.32
331.78,4672
331.53,4671.78
331.3,4672.07
331.03,4671.69
331.44,4671.51
332.01,4671.44
331.51,4671.23
331.06,4671.22
330.61,4671.36
330.54,4670.86
330.54,4670.47
330.87,4670.36
331.24,4670.35
331.25,4670.77
331.92,4670.94
332.24,4670.38
331.83,4670.17
331.07,4669.8
330.24,4669.93
330.25,4670.32
329.37,4671.39
329.01,4670.29
329.11,4670.79
328.68,4670.3
327.98,4670.51
327.93,4671.09
328.79,4672.07
330.29,4671.93
330.63,4672.46
330.18,4672.48
330.5,4672.92
330.25,4672.85
329.33,4673.23
326.48,4671.02
326.96,4670.9
327.35,4670.16
326.72,4669.55
328.11,4668.76
328.54,4667.8
328.85,4668.85
329.4,4669.5
333.41,4677.56
333.08,4677.47
332.95,4677.84
333.66,4677.98
332.54,4678.73
333.97,4678.86
333.98,4679.28
334.15,4679.8
334.93,4679.54
335.44,4679.2
334.58,4678.77
335.11,4678.48
335.64,4677.91
336.11,4677.14
335.69,4676.74
335.37,4676.58
335.97,4676.35
336.38,4676
