"A","towns","pale","size","ROADACC","OWNCONS","POPCHG","RETSALE","INCOME"
34.2,0.12,1,1087,3664,8.6,97,2962,7185
29.68,0.01,0,2133,5000,15,69,4452,9459
26.54,0.01,0,535,4321,19,78,3460,12435
23.92,0.03,0,1476,4118,9,90,28402,65901
27.91,0.03,0,989,7500,27,75,7478,17626
32.79,0.61,1,18105,3078,9.4,142,89424,164631
26.53,0.02,0,2254,4537,21.9,88,8972,26950
25.14,0.01,0,740,5140,17,78,6341,20510
30.69,0.39,1,1437,3200,9,111,4803,14703
31.41,0.18,1,1885,3708,8,87,4321,13585
28.38,0.04,0,378,3455,10.3,87,3128,9280
28.84,0.01,0,1300,5000,23.1,60,1885,5709
28.24,0.08,0,740,4018,11.4,95,10786,27395
28.57,0.05,1,868,4250,19,77,1960,5297
31.02,0.46,1,3466,3948,10.1,107,7059,12156
27.01,0.01,0,1640,6815,30,71,6758,19201
30.68,0.59,1,1307,4008,8.7,103,3356,14512
28.24,0,0,2450,4500,13,72,3960,8396
30.18,0.06,0,1047,4108,14.3,98,3817,10320
27.96,0.03,0,1023,4500,23,71,2821,10223
27.32,0.02,0,743,5997,22,75,3535,9461
30.24,0.09,1,1250,3926,9,88,9226,26424
31.04,0.08,1,2081,3691,8,91,7526,15696
29.82,0.36,1,1405,3872,16,93,3822,10842
35.86,0.28,1,2108,3940,8.6,87,8231,15582
35.47,0.09,1,1776,3600,10.2,102,4865,11921
