"state","median_income_10","median_income_15","poverty_level_10","poverty_level_15"
"Alabama",21746,22890,786544,887260
"Alaska",29509,31455,64245,72957
"Arizona",26412,26156,933113,1180690
"Arkansas",20881,22205,502684,553644
"California",27207,27035,4919945,6135142
"Colorado",29365,30752,584184,653969
"Connecticut",32258,33226,314306,366351
"Delaware",29205,30329,93857,108315
"District of Columbia",35264,40884,101767,110365
"Florida",24812,24654,2502365,3180109
"Georgia",25596,25588,1445752,1788947
"Hawaii",29945,31051,124627,153944
"Idaho",22866,23558,203177,245177
"Illinois",27549,28867,1572048,1801118
"Indiana",24934,25834,842540,978043
"Iowa",25432,27857,338263,373883
"Kansas",25696,27315,338792,381353
"Kentucky",21696,22950,735782,805841
"Louisiana",22053,24014,780359,888280
"Maine",23837,25284,162358,180278
"Maryland",34483,35831,476732,576805
"Massachusetts",31032,31917,658391,748905
"Michigan",24744,25308,1444004,1616870
"Minnesota",29281,31014,542133,596662
"Mississippi",20019,21438,604272,651545
"Missouri",24225,25396,802596,915972
"Montana",22563,24492,138109,150586
"Nebraska",25436,27474,206227,231115
"Nevada",28939,27226,308426,426337
"New Hampshire",30480,31524,99527,113840
"New Jersey",32804,33182,777968,944847
"New Mexico",22490,23428,361771,429361
"New York",28025,29652,2650166,3005943
"North Carolina",24153,25020,1399945,1667465
"North Dakota",24634,30422,78405,79758
"Ohio",24980,25954,1586292,1775836
"Oklahoma",22444,24883,577247,624043
"Oregon",25062,25447,516271,636947
"Pennsylvania",25372,26943,1509858,1666569
"Rhode Island",26749,28322,123396,144223
"South Carolina",22894,23887,716537,830901
"South Dakota",24175,26822,105819,114907
"Tennessee",22546,23781,1002467,1117594
"Texas",24834,26375,3972054,4472451
"Utah",25179,26046,283536,351601
"Vermont",25766,27362,66726,69233
"Virginia",30281,31251,781516,921822
"Washington",29411,30507,780009,908512
"West Virginia",20533,22296,310495,323384
"Wisconsin",26624,27658,637613,724348
"Wyoming",26915,29742,52297,64995
